               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1136,            0.024015,                   0,          0.00096899,             0.27473,           0.0026758,          0.00050854,            0.099134,            0.014937,                   0,              0.0928,              0.0008,              0.0008
                   1,            0.097404,             0.02325,                   0,           0.0013953,              0.3956,           0.0065822,           0.0031949,            0.086103,            0.013618,                   0,            0.084644,           0.0016439,           0.0016439
                   2,            0.083616,            0.024091,                   0,           0.0026744,             0.75824,            0.053655,            0.014166,            0.075808,            0.012029,                   0,            0.076428,           0.0024284,           0.0024284
                   3,            0.071923,            0.023143,                   0,             0.47517,             0.47253,             0.41943,             0.13281,            0.063969,            0.011291,                   0,            0.068154,           0.0031535,           0.0031535
                   4,            0.064974,            0.021256,                   0,             0.22116,              0.2746,             0.13938,            0.037286,            0.077268,            0.009563,                   0,            0.059819,           0.0038192,           0.0038192
                   5,            0.063449,            0.019985,                   0,             0.37886,             0.39546,             0.32426,            0.093093,            0.066715,           0.0092621,                   0,            0.051425,           0.0044255,           0.0044255
                   6,            0.059882,             0.01894,                   0,             0.62932,              0.6044,             0.60174,             0.21834,            0.065212,           0.0085449,                   0,            0.042972,           0.0049724,           0.0049724
                   7,            0.057238,            0.019481,                   0,             0.56241,             0.57143,             0.50598,             0.21179,            0.053603,           0.0089612,                   0,             0.03446,           0.0054599,           0.0054599
                   8,            0.054954,            0.018524,                   0,             0.34106,             0.71429,             0.31851,             0.12026,            0.061087,           0.0076332,                   0,            0.025888,            0.005888,            0.005888
                   9,            0.053882,            0.017101,                   0,             0.72391,             0.59341,             0.65005,             0.26187,            0.064735,           0.0069728,                   0,            0.017257,           0.0062567,           0.0062567
                  10,            0.051643,            0.017708,                   0,              0.7626,              0.6707,              0.7962,             0.31926,            0.049321,           0.0074267,                   0,            0.008566,            0.006566,            0.006566
                  11,            0.049855,            0.015751,                   0,             0.72473,             0.67033,             0.74386,             0.29181,            0.054818,           0.0066028,                   0,             0.00637,             0.00637,             0.00637
                  12,            0.048353,            0.014925,                   0,             0.77793,              0.7033,             0.76712,             0.29875,            0.047679,           0.0068378,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.045162,            0.014025,                   0,             0.84192,             0.76085,             0.87299,             0.41306,            0.048222,           0.0063305,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.043264,            0.012188,                   0,             0.91931,             0.87643,             0.92063,             0.41966,            0.041602,           0.0057921,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.040463,            0.011307,                   0,             0.90686,               0.856,             0.92401,              0.3809,            0.042559,           0.0057888,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.039241,            0.011368,                   0,             0.90072,              0.8973,              0.8978,             0.42804,            0.040233,           0.0053148,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.037796,            0.010583,                   0,             0.90578,             0.87912,             0.89348,             0.43106,            0.039052,           0.0049396,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.036265,             0.01003,                   0,             0.95423,             0.91648,             0.96046,             0.45594,            0.035615,           0.0047588,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.03486,             0.01022,                   0,              0.9638,             0.91209,             0.95428,             0.50094,            0.034619,           0.0045395,                   0,             0.00406,             0.00406,             0.00406
                  20,             0.03561,            0.009291,                   0,              0.9303,             0.89011,             0.92063,             0.51934,            0.034451,           0.0045471,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.033871,           0.0093053,                   0,             0.94755,              0.9011,             0.93955,              0.5265,            0.033363,           0.0043859,                   0,              0.0034,              0.0034,              0.0034
                  22,             0.03237,           0.0089075,                   0,             0.97368,             0.92308,             0.96162,             0.50983,             0.03341,           0.0041788,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.030879,           0.0093889,                   0,             0.96558,             0.92496,             0.98526,             0.56859,             0.03126,           0.0040443,                   0,             0.00274,             0.00274,             0.00274
                  24,             0.02963,           0.0085508,                   0,             0.96502,             0.90949,             0.96437,             0.60823,            0.029955,           0.0040259,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.028853,           0.0090326,                   0,              0.9532,             0.89525,             0.96109,             0.57633,            0.030788,           0.0040603,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.028705,            0.009004,                   0,              0.9624,             0.91209,             0.95464,             0.58375,            0.030136,           0.0040109,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.027793,           0.0085424,                   0,             0.95944,             0.89011,             0.96292,             0.61071,             0.02948,           0.0039957,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.025594,           0.0080923,                   0,             0.97544,             0.87276,             0.96778,             0.59519,            0.030866,            0.004055,                   0,             0.00109,             0.00109,             0.00109
                  29,             0.02584,           0.0076734,                   0,             0.97593,             0.89098,             0.97532,             0.59049,            0.030547,           0.0040526,                   0,             0.00076,             0.00076,             0.00076
